 Name                   Version            License                                         
 EditorConfig           0.17.0             Python Software Foundation License              
 PyYAML                 6.0.2              MIT License                                     
 arrow                  1.3.0              Apache Software License                         
 cssbeautifier          1.15.3             MIT                                             
 et_xmlfile             2.0.0              MIT License                                     
 jsbeautifier           1.15.3             MIT                                             
 lxml                   5.3.1              BSD License                                     
 lxml-stubs             0.5.1              Apache Software License                         
 mutagen                1.47.0             GNU General Public License v2 or later (GPLv2+) 
 mypy                   1.15.0             MIT License                                     
 mypy-extensions        1.0.0              MIT License                                     
 numpy                  2.2.3              BSD License                                     
 openpyxl               3.1.5              MIT License                                     
 openpyxl-stubs         0.1.25             MIT license                                     
 orjson                 3.10.15            Apache Software License; MIT License            
 pandas                 2.2.3              BSD License                                     
 pandas-stubs           2.2.3.241126       BSD License                                     
 pymediainfo            7.0.1              MIT License                                     
 python-dateutil        2.9.0.post0        Apache Software License; BSD License            
 pytz                   2025.1             MIT License                                     
 result                 0.17.0             MIT License                                     
 six                    1.17.0             MIT License                                     
 types-PyYAML           6.0.12.20241230    Apache Software License                         
 types-openpyxl         3.1.5.20241225     Apache Software License                         
 types-python-dateutil  2.9.0.20241206     Apache Software License                         
 types-pytz             2025.1.0.20250204  Apache Software License                         
 types-xmltodict        0.14.0.20241009    Apache Software License                         
 typing_extensions      4.12.2             Python Software Foundation License              
 tzdata                 2025.1             Apache Software License                         
 xmltodict              0.14.2             MIT License                                     
